last_interval,Exchange,Symbol,Best_Bid_Price,FB0,Best_Offer_Price,FA0,FB2,FA2,p_time,Next_Best_Bid,Next_Best_Offer,outcome,date
2020-01-03 11:08:45,P,AAPL,298.5,3.0,298.52,1.0,0.0,-1.0,2020-01-03 11:08:45.379396,298.48,298.5,0,2020-01-03
2020-01-03 11:08:50,N,AAPL,298.48,2.0,298.5,4.0,0.0,3.0,2020-01-03 11:08:50.004941,298.48,298.51,0,2020-01-03
2020-01-03 11:08:55,P,AAPL,298.48,3.0,298.51,3.0,2.0,1.0,2020-01-03 11:08:55.130210,298.47,298.48,0,2020-01-03
2020-01-03 11:09:00,N,AAPL,298.47,2.0,298.48,2.0,0.0,0.0,2020-01-03 11:09:00.000352,298.45,298.47,0,2020-01-03
2020-01-03 11:09:05,Z,AAPL,298.45,2.0,298.47,2.0,0.0,-1.0,2020-01-03 11:09:05.008958,298.46,298.47,0,2020-01-03
2020-01-03 11:09:10,Z,AAPL,298.46,2.0,298.47,1.0,1.0,0.0,2020-01-03 11:09:11.318322,298.46,298.47,0,2020-01-03
2020-01-03 11:09:15,Q,AAPL,298.46,1.0,298.47,1.0,-1.0,0.0,2020-01-03 11:09:15.049845,298.42,298.44,-1,2020-01-03
2020-01-03 11:09:20,Z,AAPL,298.42,3.0,298.44,1.0,0.0,-4.0,2020-01-03 11:09:20.052608,298.42,298.44,0,2020-01-03
2020-01-03 11:09:25,N,AAPL,298.42,2.0,298.44,1.0,-1.0,0.0,2020-01-03 11:09:25.374813,298.42,298.43,0,2020-01-03
2020-01-03 11:09:30,Z,AAPL,298.42,6.0,298.43,2.0,4.0,0.0,2020-01-03 11:09:32.389416,298.42,298.44,0,2020-01-03
2020-01-03 11:09:35,Z,AAPL,298.42,4.0,298.44,3.0,0.0,1.0,2020-01-03 11:09:35.353950,298.42,298.44,0,2020-01-03
2020-01-03 11:09:40,Q,AAPL,298.42,3.0,298.44,5.0,0.0,1.0,2020-01-03 11:09:40.492805,298.42,298.43,0,2020-01-03
